statement_period,transaction_date,pan,investor_name,isin,security_name,asset_class,transaction_type,amount,units,price_nav,pdf_filename
"OCT 2021","2021-10-20","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",30638.47,25.532,1200.0,"NSDLe-CAS_DEMO_OCT_2021.PDF"
"NOV 2021","2021-11-12","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",9462.09,174.577,54.2,"NSDLe-CAS_DEMO_NOV_2021.PDF"
"DEC 2021","2021-12-05","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",22390.61,21.952,1020.0,"NSDLe-CAS_DEMO_DEC_2021.PDF"
"DEC 2021","2021-12-28","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",23148.95,2066.871,11.2,"NSDLe-CAS_DEMO_DEC_2021.PDF"
"JAN 2022","2022-01-20","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",43152.64,15.141,2850.0,"NSDLe-CAS_DEMO_JAN_2022.PDF"
"FEB 2022","2022-02-12","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",40034.12,23.83,1680.0,"NSDLe-CAS_DEMO_FEB_2022.PDF"
"MAR 2022","2022-03-07","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",15535.56,226.796,68.5,"NSDLe-CAS_DEMO_MAR_2022.PDF"
"MAR 2022","2022-03-30","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",25023.44,3.359,7450.0,"NSDLe-CAS_DEMO_MAR_2022.PDF"
"APR 2022","2022-04-22","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",12146.08,10.122,1200.0,"NSDLe-CAS_DEMO_APR_2022.PDF"
"MAY 2022","2022-05-15","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",41505.11,765.777,54.2,"NSDLe-CAS_DEMO_MAY_2022.PDF"
"JUN 2022","2022-06-07","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",39820.74,39.04,1020.0,"NSDLe-CAS_DEMO_JUN_2022.PDF"
"JUN 2022","2022-06-30","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",16937.79,1512.303,11.2,"NSDLe-CAS_DEMO_JUN_2022.PDF"
"JUL 2022","2022-07-23","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",30557.98,10.722,2850.0,"NSDLe-CAS_DEMO_JUL_2022.PDF"
"AUG 2022","2022-08-15","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",29358.81,17.475,1680.0,"NSDLe-CAS_DEMO_AUG_2022.PDF"
"SEP 2022","2022-09-07","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",11113.57,162.242,68.5,"NSDLe-CAS_DEMO_SEP_2022.PDF"
"SEP 2022","2022-09-30","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",35500.43,4.765,7450.0,"NSDLe-CAS_DEMO_SEP_2022.PDF"
"OCT 2022","2022-10-23","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",26575.16,22.146,1200.0,"NSDLe-CAS_DEMO_OCT_2022.PDF"
"NOV 2022","2022-11-15","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",36145.06,666.883,54.2,"NSDLe-CAS_DEMO_NOV_2022.PDF"
"DEC 2022","2022-12-08","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",26214.15,25.7,1020.0,"NSDLe-CAS_DEMO_DEC_2022.PDF"
"DEC 2022","2022-12-31","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",5022.88,448.471,11.2,"NSDLe-CAS_DEMO_DEC_2022.PDF"
"JAN 2023","2023-01-23","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",17966.24,6.304,2850.0,"NSDLe-CAS_DEMO_JAN_2023.PDF"
"FEB 2023","2023-02-15","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",5779.07,3.44,1680.0,"NSDLe-CAS_DEMO_FEB_2023.PDF"
"MAR 2023","2023-03-10","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",42163.94,615.532,68.5,"NSDLe-CAS_DEMO_MAR_2023.PDF"
"APR 2023","2023-04-02","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",40148.88,5.389,7450.0,"NSDLe-CAS_DEMO_APR_2023.PDF"
"APR 2023","2023-04-25","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",38266.62,31.889,1200.0,"NSDLe-CAS_DEMO_APR_2023.PDF"
"MAY 2023","2023-05-18","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",17300.57,319.199,54.2,"NSDLe-CAS_DEMO_MAY_2023.PDF"
"JUN 2023","2023-06-10","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",7317.01,7.174,1020.0,"NSDLe-CAS_DEMO_JUN_2023.PDF"
"JUL 2023","2023-07-03","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",40120.38,3582.177,11.2,"NSDLe-CAS_DEMO_JUL_2023.PDF"
"JUL 2023","2023-07-26","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",42877.98,15.045,2850.0,"NSDLe-CAS_DEMO_JUL_2023.PDF"
"AUG 2023","2023-08-18","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",8426.14,5.016,1680.0,"NSDLe-CAS_DEMO_AUG_2023.PDF"
"SEP 2023","2023-09-10","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",24439.62,356.783,68.5,"NSDLe-CAS_DEMO_SEP_2023.PDF"
"OCT 2023","2023-10-03","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",7768.5,1.043,7450.0,"NSDLe-CAS_DEMO_OCT_2023.PDF"
"OCT 2023","2023-10-26","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",35424.09,29.52,1200.0,"NSDLe-CAS_DEMO_OCT_2023.PDF"
"NOV 2023","2023-11-18","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",35633.38,657.442,54.2,"NSDLe-CAS_DEMO_NOV_2023.PDF"
"DEC 2023","2023-12-11","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",10135.66,9.937,1020.0,"NSDLe-CAS_DEMO_DEC_2023.PDF"
"JAN 2024","2024-01-03","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",24011.3,2143.866,11.2,"NSDLe-CAS_DEMO_JAN_2024.PDF"
"JAN 2024","2024-01-26","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",26992.14,9.471,2850.0,"NSDLe-CAS_DEMO_JAN_2024.PDF"
"FEB 2024","2024-02-18","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",15602.27,9.287,1680.0,"NSDLe-CAS_DEMO_FEB_2024.PDF"
"MAR 2024","2024-03-12","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",39897.32,582.443,68.5,"NSDLe-CAS_DEMO_MAR_2024.PDF"
"APR 2024","2024-04-04","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",21925.52,2.943,7450.0,"NSDLe-CAS_DEMO_APR_2024.PDF"
"APR 2024","2024-04-27","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",13471.93,11.227,1200.0,"NSDLe-CAS_DEMO_APR_2024.PDF"
"MAY 2024","2024-05-20","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",26571.84,490.255,54.2,"NSDLe-CAS_DEMO_MAY_2024.PDF"
"JUN 2024","2024-06-12","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",34197.24,33.527,1020.0,"NSDLe-CAS_DEMO_JUN_2024.PDF"
"JUL 2024","2024-07-05","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",13046.04,1164.825,11.2,"NSDLe-CAS_DEMO_JUL_2024.PDF"
"JUL 2024","2024-07-28","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",17468.65,6.129,2850.0,"NSDLe-CAS_DEMO_JUL_2024.PDF"
"AUG 2024","2024-08-20","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",44805.97,26.67,1680.0,"NSDLe-CAS_DEMO_AUG_2024.PDF"
"SEP 2024","2024-09-12","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",30995.12,452.484,68.5,"NSDLe-CAS_DEMO_SEP_2024.PDF"
"OCT 2024","2024-10-05","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",22524.0,3.023,7450.0,"NSDLe-CAS_DEMO_OCT_2024.PDF"
"OCT 2024","2024-10-28","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",25703.03,21.419,1200.0,"NSDLe-CAS_DEMO_OCT_2024.PDF"
"NOV 2024","2024-11-20","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",9840.17,181.553,54.2,"NSDLe-CAS_DEMO_NOV_2024.PDF"
"DEC 2024","2024-12-13","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",13987.89,13.714,1020.0,"NSDLe-CAS_DEMO_DEC_2024.PDF"
"JAN 2025","2025-01-05","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",18523.42,1653.877,11.2,"NSDLe-CAS_DEMO_JAN_2025.PDF"
"JAN 2025","2025-01-28","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",28532.35,10.011,2850.0,"NSDLe-CAS_DEMO_JAN_2025.PDF"
"FEB 2025","2025-02-20","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",14204.59,8.455,1680.0,"NSDLe-CAS_DEMO_FEB_2025.PDF"
"MAR 2025","2025-03-15","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",13808.7,201.587,68.5,"NSDLe-CAS_DEMO_MAR_2025.PDF"
"APR 2025","2025-04-07","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",7839.72,1.052,7450.0,"NSDLe-CAS_DEMO_APR_2025.PDF"
"APR 2025","2025-04-30","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",30244.12,25.203,1200.0,"NSDLe-CAS_DEMO_APR_2025.PDF"
"MAY 2025","2025-05-23","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",14157.67,261.212,54.2,"NSDLe-CAS_DEMO_MAY_2025.PDF"
"JUN 2025","2025-06-15","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",41216.8,40.409,1020.0,"NSDLe-CAS_DEMO_JUN_2025.PDF"
"JUL 2025","2025-07-08","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",39385.42,3516.555,11.2,"NSDLe-CAS_DEMO_JUL_2025.PDF"
"JUL 2025","2025-07-31","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",7834.29,2.749,2850.0,"NSDLe-CAS_DEMO_JUL_2025.PDF"
"AUG 2025","2025-08-23","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",14520.19,8.643,1680.0,"NSDLe-CAS_DEMO_AUG_2025.PDF"
"SEP 2025","2025-09-15","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",31759.11,463.637,68.5,"NSDLe-CAS_DEMO_SEP_2025.PDF"
"OCT 2025","2025-10-08","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",13569.47,1.821,7450.0,"NSDLe-CAS_DEMO_OCT_2025.PDF"
"OCT 2025","2025-10-31","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",10292.47,8.577,1200.0,"NSDLe-CAS_DEMO_OCT_2025.PDF"
"NOV 2025","2025-11-23","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",42420.57,782.667,54.2,"NSDLe-CAS_DEMO_NOV_2025.PDF"
"DEC 2025","2025-12-16","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",27841.72,27.296,1020.0,"NSDLe-CAS_DEMO_DEC_2025.PDF"
"JAN 2026","2026-01-08","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",23906.84,2134.539,11.2,"NSDLe-CAS_DEMO_JAN_2026.PDF"
"JAN 2026","2026-01-31","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",36384.78,12.767,2850.0,"NSDLe-CAS_DEMO_JAN_2026.PDF"
"FEB 2026","2026-02-23","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",37299.88,22.202,1680.0,"NSDLe-CAS_DEMO_FEB_2026.PDF"
"MAR 2026","2026-03-18","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",12616.4,184.181,68.5,"NSDLe-CAS_DEMO_MAR_2026.PDF"
"APR 2026","2026-04-10","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",8877.23,1.192,7450.0,"NSDLe-CAS_DEMO_APR_2026.PDF"
